	9426	226	-386	616
	9477	81	-541	646
	9527	59	-534	618
	9577	-175	-513	628
	9626	-170	-493	617
	9676	-13	-510	618
	9726	-163	-569	609
	9777	-56	-568	619
	9827	-207	-506	649
	9877	-240	-539	618
	9927	-46	-488	601
	9977	-13	-510	611
	10028	-421	-324	663
	10078	-371	-445	617
	10128	92	-477	635
	10177	205	-492	646
	10227	219	-508	646
	10277	214	-502	639
	10328	122	-546	631
	10378	-219	-422	644
	10428	-218	-453	617
	10478	-249	-453	620
	10528	-222	-478	603
	10578	-233	-516	615
	10628	-129	-558	647
	10678	-5	-482	625
	10728	-242	-593	622
	10778	32	-572	649
	10828	351	-475	647
	10878	294	-486	650
	10929	277	-523	635
	10979	289	-503	648
	11029	549	-691	641
	11078	708	-549	645
	11128	934	-511	665
	11179	1093	-468	672
	11229	895	-440	663
	11279	668	-466	651
	11329	712	-489	661
	11379	699	-456	659
	11429	382	-498	639
	11480	186	-506	630
	11529	153	-514	649
	11579	136	-516	640
	11629	88	-503	640
	11679	-546	-486	611
	11729	-667	-489	620
	11780	-718	-446	603
	11830	-504	-433	621
	11880	-670	-470	601
	11930	-417	-578	603
	11980	-299	-550	620
	12029	-8	-496	602
	12080	383	-541	614
	12130	585	-507	634
	12180	525	-559	635
	12230	401	-492	622
	12280	505	-595	644
	12331	718	-646	662
	12381	952	-595	648
	12431	768	-542	662
	12480	705	-521	666
	12530	692	-538	646
	12580	1987	-747	729
	12631	573	-307	656
	12681	192	-474	636
	12731	121	-509	642
	12781	114	-523	640
	12831	118	-518	634
	12881	163	-529	645
	12931	204	-541	637
	12981	474	-470	659
	13031	852	-468	660
	13081	868	-443	660
	13131	938	-655	682
	13181	699	-593	657
	13232	686	-465	642
	13282	614	-620	642
	13332	297	-592	639
	13381	227	-585	615
	13431	-18	-513	666
	13481	-162	-527	576
	13532	-36	-550	638
	13582	33	-535	620
	13632	-48	-732	623
	13682	-545	-532	605
	13732	-648	-526	595
	13783	-574	-349	612
	13833	-288	-462	610
	13882	-210	-511	624
	13932	-555	-439	609
	13982	-947	-462	605
	14032	-208	-477	647
	14083	151	-519	633
	14133	219	-518	654
	14183	219	-528	666
	14233	283	-467	592
	14283	273	-509	633
	14332	246	-510	651
	14383	231	-529	655
	14433	229	-525	647
	14483	229	-526	649
	14533	222	-528	649
	14583	202	-531	686
	14633	206	-489	630
	14684	226	-522	649
	14734	224	-525	641
	14783	222	-524	626
	14833	208	-521	639
	14883	210	-518	640
	14934	215	-519	642
	14984	221	-523	641
	15034	214	-525	636
	15084	208	-532	651
	15134	217	-523	645
	15184	208	-517	641
	15234	201	-528	640
	15284	198	-524	660
	15334	209	-521	648
	15384	206	-528	638
	15434	204	-533	659
	15484	201	-523	646
	15535	198	-528	640
	15585	203	-528	643
	15635	200	-514	642
	15684	198	-523	636
	15734	203	-530	647
	15784	205	-521	641
	15835	199	-524	630
	15885	204	-519	644
	15935	202	-521	632
	15985	185	-521	638
	16035	196	-521	640
	16086	199	-518	661
	16135	202	-528	647
	16185	186	-511	653
	16235	189	-527	658
	16285	193	-531	643
	16335	188	-526	641
	16386	191	-517	632
	16436	187	-520	638
