	6320	6.42	-3.75	3.84
	6370	6.55	-3.77	3.87
	6420	6.70	-3.75	3.87
	6470	6.86	-3.76	3.85
	6520	7.05	-3.77	3.79
	6571	7.13	-3.77	3.73
	6621	7.33	-3.73	3.67
	6670	7.61	-3.75	3.64
	6720	7.86	-3.76	3.61
	6770	7.99	-3.75	3.60
	6820	8.11	-3.75	3.56
	6871	8.31	-3.74	3.54
	6921	8.48	-3.74	3.49
	6971	8.69	-3.74	3.46
	7021	8.83	-3.77	3.47
	7071	8.96	-3.77	3.45
	7120	9.08	-3.75	3.42
	7171	9.19	-3.75	3.40
	7221	9.06	-3.69	3.36
	7271	8.93	-3.69	3.36
	7321	9.00	-3.70	3.34
	7371	9.12	-3.69	3.33
	7421	9.31	-3.69	3.32
	7472	9.54	-3.70	3.34
	7522	9.77	-3.70	3.38
	7571	10.00	-3.69	3.41
	7621	10.18	-3.71	3.41
	7671	10.32	-3.68	3.41
	7721	10.42	-3.65	3.38
	7772	10.50	-3.63	3.34
	7822	10.53	-3.60	3.31
	7872	10.53	-3.59	3.30
	7922	10.49	-3.58	3.28
	7972	10.44	-3.57	3.27
	8023	10.30	-3.55	3.26
	8072	10.04	-3.53	3.25
	8122	9.73	-3.49	3.24
	8172	9.50	-3.47	3.21
	8222	9.27	-3.46	3.19
	8272	9.13	-3.43	3.14
	8323	9.10	-3.44	3.11
	8373	9.10	-3.43	3.08
	8423	9.05	-3.45	3.07
	8473	8.93	-3.44	3.06
	8522	8.81	-3.43	3.08
	8572	8.69	-3.41	3.05
	8623	8.74	-3.40	3.02
	8673	8.83	-3.40	3.02
	8723	8.90	-3.39	3.06
	8773	8.96	-3.40	3.10
	8823	8.98	-3.39	3.14
	8873	8.96	-3.36	3.20
	8924	8.94	-3.32	3.24
	8973	8.98	-3.31	3.24
	9023	9.04	-3.31	3.22
	9073	9.09	-3.30	3.21
	9123	9.18	-3.29	3.17
	9174	9.25	-3.28	3.13
	9224	9.47	-3.26	3.09
	9274	9.84	-3.24	3.03
	9324	10.27	-3.22	3.00
	9374	10.74	-3.19	2.90
	9424	11.26	-3.14	2.81
	9474	11.64	-3.10	2.73
	9524	11.81	-3.07	2.64
	9574	11.88	-3.06	2.62
	9624	11.95	-3.07	2.64
	9674	12.00	-3.05	2.66
	9724	12.07	-3.04	2.66
	9775	12.13	-3.04	2.67
	9825	12.18	-3.04	2.70
	9875	12.24	-3.05	2.71
	9924	12.30	-3.05	2.74
	9974	12.36	-3.05	2.75
	10024	12.43	-3.05	2.76
	10075	12.49	-3.06	2.78
	10125	12.55	-3.06	2.80
	10175	12.61	-3.06	2.81
	10225	12.67	-3.06	2.82
	10275	12.74	-3.07	2.84
	10326	12.79	-3.08	2.86
	10376	12.86	-3.08	2.86
	10426	12.91	-3.08	2.90
	10475	12.98	-3.09	2.91
	10525	13.04	-3.10	2.92
	10575	13.09	-3.11	2.94
	10626	13.16	-3.07	2.91
	10676	13.22	-3.08	2.92
	10726	13.28	-3.08	2.93
	10776	13.34	-3.04	2.90
	10826	13.39	-3.09	2.95
	10876	13.47	-3.43	3.29
	10926	13.53	-3.53	3.41
	10976	13.59	-3.52	3.41
	11026	13.65	-3.52	3.41
	11076	13.72	-3.52	3.42
	11126	13.79	-3.51	3.41
	11176	13.86	-3.52	3.41
	11227	13.91	-3.53	3.42
	11277	13.98	-3.53	3.42
	11327	14.03	-3.53	3.43
	11376	14.10	-3.53	3.43
	11426	14.15	-3.52	3.43
	11476	14.22	-3.53	3.43
	11527	14.27	-3.54	3.44
	11577	14.33	-3.54	3.44
	11627	14.39	-3.54	3.45
	11677	14.43	-3.54	3.45
	11727	14.49	-3.54	3.45
	11778	14.40	-3.54	3.47
	11828	13.86	-3.52	3.50
	11877	12.94	-3.48	3.56
	11927	11.82	-3.42	3.56
	11977	10.49	-3.35	3.56
	12027	8.98	-3.31	3.61
	12078	7.16	-3.29	3.65
	12128	4.95	-3.24	3.70
	12178	2.81	-3.19	3.75
	12228	0.87	-3.17	3.79
	12277	-0.81	-3.01	3.64
	12327	-3.02	-2.66	3.39
	12378	-5.93	-2.47	3.37
	12428	-8.33	-2.31	3.29
	12478	-10.40	-2.25	3.23
	12528	-12.31	-2.15	3.21
	12578	-14.39	-2.10	3.20
	12628	-16.22	-2.06	3.18
	12679	-18.30	-2.00	3.20
	12729	-20.72	-1.92	3.16
	12778	-22.29	-1.92	3.14
	12828	-23.97	-1.94	3.14
	12878	-26.36	-1.91	3.12
	12929	-28.75	-1.77	3.19
	12979	-31.39	-1.71	3.20
	13029	-34.09	-1.62	3.22
	13079	-36.51	-1.54	3.23
	13129	-38.82	-1.65	3.07
	13179	-40.93	-1.75	2.95
	13229	-43.58	-1.73	2.89
	13279	-45.91	-1.68	2.82
	13329	-47.79	-1.64	2.85
	13379	-49.61	-1.70	2.83
	13429	-52.11	-1.65	2.76
	13479	-53.81	-1.64	2.82
	13530	-55.65	-1.65	2.83
	13580	-57.70	-1.54	2.85
	13630	-59.53	-1.52	2.89
	13680	-61.52	-1.42	2.94
	13729	-63.41	-1.50	3.29
	13779	-65.43	-1.47	3.27
	13830	-67.10	-1.45	3.19
	13880	-68.46	-1.44	3.12
	13930	-69.74	-1.40	3.13
	13980	-70.83	-1.40	3.12
	14030	-71.82	-1.41	3.12
	14081	-72.49	-1.44	3.10
	14131	-72.75	-1.48	3.12
	14180	-72.79	-1.53	3.16
	14230	-72.73	-1.56	3.22
	14280	-72.67	-1.61	3.26
	14330	-72.60	-1.67	3.30
	14381	-72.54	-1.71	3.34
	14431	-72.48	-1.75	3.39
	14481	-72.42	-1.80	3.43
	14531	-72.36	-1.82	3.48
	14581	-72.29	-1.83	3.53
	14631	-72.23	-1.67	3.74
	14681	-72.17	-1.66	3.81
	14731	-72.11	-1.71	3.83
	14781	-72.06	-1.73	3.86
	14831	-72.00	-1.75	3.90
	14881	-71.96	-1.77	3.93
	14931	-71.91	-1.80	3.97
	14982	-71.86	-1.82	3.99
	15032	-71.86	-1.82	4.00
	15082	-71.92	-1.83	4.01
	15131	-71.99	-1.83	4.02
	15181	-72.10	-1.84	4.06
	15232	-72.07	-1.88	4.10
	15282	-72.04	-1.90	4.14
	15332	-71.99	-1.93	4.18
	15382	-71.95	-1.95	4.20
	15432	-71.89	-1.98	4.23
